Column1,Column2,Correlation,P_value,Significance
artist_popularity,popularity,0.7711388770766222,0.0,Significant
entropy_energy,popularity,-0.2703280364478708,0.0,Significant
Unnamed: 0_y,popularity,0.23187904202200169,0.0,Significant
MFCC_1,popularity,0.2145051338079102,0.0,Significant
danceability,popularity,0.21370793597536147,0.0,Significant
loudness,popularity,0.20796064460755997,0.0,Significant
followers,popularity,0.20209622882185713,0.0,Significant
MFCC_6,popularity,0.1982265828986351,0.0,Significant
Unnamed: 0.1,popularity,0.1905596331611907,0.0,Significant
Unnamed: 0_x,popularity,0.19052042368185756,0.0,Significant
MEL_2,popularity,0.18894806569413752,0.0,Significant
duration_ms,popularity,-0.1695548798482067,1.541296736e-314,Significant
spectral_bandwith,popularity,0.16742459403368443,1.257094388177635e-306,Significant
MEL_3,popularity,0.1661876844158985,4.4110122072752455e-302,Significant
MFCC_8,popularity,0.16392034219567195,7.653282426119869e-294,Significant
MFCC_4,popularity,0.16022404307595303,1.1491449130241431e-280,Significant
MEL_101,popularity,0.15900974602030923,2.0899832713803672e-276,Significant
MEL_104,popularity,0.15855861579871006,7.835036172812674e-275,Significant
MEL_103,popularity,0.15848970127339607,1.3616197199315957e-274,Significant
MEL_102,popularity,0.15828259771668204,7.156402926280184e-274,Significant
MEL_100,popularity,0.15815553341849722,1.9785132210414256e-273,Significant
MEL_99,popularity,0.15708946339831906,9.706769047298622e-270,Significant
MEL_1,popularity,0.15597343011831233,6.648666766355895e-266,Significant
spectral_rollOff_max,popularity,0.15360916373246203,7.14125057138398e-258,Significant
MEL_105,popularity,0.1533721403971118,4.485619103408218e-257,Significant
MEL_97,popularity,0.15326820624167725,1.0031313812197704e-256,Significant
MEL_98,popularity,0.1529128587563751,1.565075281750978e-255,Significant
MEL_108,popularity,0.15201569997587616,1.563524732918664e-252,Significant
MEL_106,popularity,0.1520114071975278,1.6158941312875644e-252,Significant
MEL_107,popularity,0.15009532429135414,3.570314347475581e-246,Significant
acousticness,popularity,-0.15006338332388564,4.547293792029089e-246,Significant
MEL_96,popularity,0.14971053574680204,6.555939025218224e-245,Significant
MFCC_2,popularity,-0.14927974966170413,1.6890187652043192e-243,Significant
MEL_95,popularity,0.14925599893804997,2.0197810915296764e-243,Significant
MEL_93,popularity,0.1489195117563818,2.536891519032208e-242,Significant
MEL_92,popularity,0.14817986264826763,6.470921858262373e-240,Significant
MEL_109,popularity,0.14769698405607273,2.3736088910403416e-238,Significant
MEL_94,popularity,0.1445401814132547,2.963651317710882e-228,Significant
MEL_110,popularity,0.14269959277092148,1.794028707864482e-222,Significant
Spectral_contrast_6,popularity,-0.14241273161944568,1.4061495126020017e-221,Significant
MEL_91,popularity,0.1421868763423988,7.091702070201797e-221,Significant
MEL_90,popularity,0.13996897139934908,4.896957161982713e-214,Significant
MEL_4,popularity,0.1396785962948922,3.776322422709952e-213,Significant
energy,popularity,0.13803755852204425,3.5874493402005395e-208,Significant
MEL_111,popularity,0.1358116241522439,1.6189142872783123e-201,Significant
MEL_88,popularity,0.13541893831754065,2.3525240638579575e-200,Significant
MFCC_10,popularity,0.134153899955868,1.2366202465417426e-196,Significant
MEL_11,popularity,0.13312170378647267,1.2628443690942088e-193,Significant
MFCC_5,popularity,-0.13293531735800504,4.386843797048478e-193,Significant
MFCC_15,popularity,0.1328809490909295,6.306011453428678e-193,Significant
MEL_89,popularity,0.13167968580355557,1.8406715613666408e-189,Significant
MEL_8,popularity,0.1310708826751904,1.0203456469967955e-187,Significant
MEL_15,popularity,0.13103270630585542,1.3116451204659093e-187,Significant
MEL_9,popularity,0.13084607222954217,4.4725324205885325e-187,Significant
MEL_87,popularity,0.1300038321517935,1.1090043141739241e-184,Significant
MEL_18,popularity,0.12968779783053433,8.694822984830581e-184,Significant
MEL_12,popularity,0.12901267364101768,6.953980851501406e-182,Significant
MEL_112,popularity,0.1288779478041419,1.6624898902664034e-181,Significant
MEL_10,popularity,0.1285644518712345,1.2588616406648078e-180,Significant
MEL_5,popularity,0.12808334072375002,2.7860582774826916e-179,Significant
MEL_86,popularity,0.1264435670358727,9.776042202714046e-175,Significant
MEL_20,popularity,0.1259027147767812,2.9928385849178413e-173,Significant
MEL_113,popularity,0.12571761561908942,9.618611934004553e-173,Significant
MEL_7,popularity,0.1254391454037029,5.552128130747005e-172,Significant
MEL_17,popularity,0.12457834006077605,1.2216396210060617e-169,Significant
MEL_13,popularity,0.12375592435000617,2.0391841288807487e-167,Significant
MEL_14,popularity,0.12142158449519243,3.4307652276288852e-161,Significant
Unnamed: 0,popularity,0.1212720580005626,8.512221063228326e-161,Significant
MFCC_13,popularity,0.12092915611497496,6.810719933009284e-160,Significant
MEL_114,popularity,0.12078019838516435,1.6776689419365984e-159,Significant
MEL_16,popularity,0.1190174961326857,6.6084121897510115e-155,Significant
MEL_85,popularity,0.1188537186626912,1.752054861387374e-154,Significant
MFCC_17,popularity,0.11848964278281054,1.523112531773435e-153,Significant
MEL_23,popularity,0.11831453828196829,4.299182938591154e-153,Significant
MEL_19,popularity,0.11792186961501101,4.380105091294521e-152,Significant
MEL_6,popularity,0.11767136292020437,1.917853002676668e-151,Significant
MEL_84,popularity,0.11693026868788442,1.4856983117816005e-149,Significant
MEL_22,popularity,0.11607705892271687,2.14631568576224e-147,Significant
